pair_ID,entailment_judgment
6,NEUTRAL
7,NEUTRAL
8,NEUTRAL
10,NEUTRAL
11,NEUTRAL
13,NEUTRAL
15,NEUTRAL
16,NEUTRAL
17,NEUTRAL
19,NEUTRAL
20,NEUTRAL
21,NEUTRAL
22,NEUTRAL
23,CONTRADICTION
27,CONTRADICTION
29,NEUTRAL
31,CONTRADICTION
32,NEUTRAL
33,ENTAILMENT
34,ENTAILMENT
36,NEUTRAL
37,ENTAILMENT
38,CONTRADICTION
39,NEUTRAL
41,NEUTRAL
43,NEUTRAL
46,NEUTRAL
48,ENTAILMENT
50,NEUTRAL
51,NEUTRAL
52,ENTAILMENT
53,NEUTRAL
54,NEUTRAL
57,ENTAILMENT
59,NEUTRAL
60,NEUTRAL
61,NEUTRAL
63,NEUTRAL
64,NEUTRAL
66,NEUTRAL
67,CONTRADICTION
68,NEUTRAL
69,CONTRADICTION
71,CONTRADICTION
74,NEUTRAL
75,NEUTRAL
76,NEUTRAL
80,NEUTRAL
86,NEUTRAL
89,NEUTRAL
92,NEUTRAL
95,ENTAILMENT
96,CONTRADICTION
101,NEUTRAL
102,ENTAILMENT
103,NEUTRAL
104,NEUTRAL
106,NEUTRAL
108,NEUTRAL
109,NEUTRAL
110,NEUTRAL
111,ENTAILMENT
114,NEUTRAL
115,NEUTRAL
118,NEUTRAL
121,NEUTRAL
123,NEUTRAL
125,NEUTRAL
128,NEUTRAL
132,NEUTRAL
134,NEUTRAL
135,NEUTRAL
137,ENTAILMENT
138,NEUTRAL
142,ENTAILMENT
143,NEUTRAL
144,ENTAILMENT
145,CONTRADICTION
147,NEUTRAL
149,NEUTRAL
151,NEUTRAL
152,CONTRADICTION
153,NEUTRAL
154,CONTRADICTION
155,ENTAILMENT
156,CONTRADICTION
157,ENTAILMENT
158,NEUTRAL
160,NEUTRAL
162,NEUTRAL
165,NEUTRAL
166,ENTAILMENT
167,NEUTRAL
168,NEUTRAL
169,NEUTRAL
171,NEUTRAL
172,NEUTRAL
174,ENTAILMENT
175,NEUTRAL
177,NEUTRAL
178,NEUTRAL
179,NEUTRAL
180,NEUTRAL
181,NEUTRAL
182,NEUTRAL
187,NEUTRAL
189,NEUTRAL
190,NEUTRAL
191,ENTAILMENT
193,ENTAILMENT
195,NEUTRAL
196,CONTRADICTION
198,CONTRADICTION
199,NEUTRAL
203,NEUTRAL
204,NEUTRAL
206,NEUTRAL
207,CONTRADICTION
208,NEUTRAL
209,NEUTRAL
210,CONTRADICTION
212,NEUTRAL
213,NEUTRAL
214,NEUTRAL
220,NEUTRAL
221,NEUTRAL
222,NEUTRAL
229,NEUTRAL
230,CONTRADICTION
231,NEUTRAL
235,NEUTRAL
239,NEUTRAL
242,NEUTRAL
