pair_ID,entailment_judgment
6,NEUTRAL
7,NEUTRAL
8,NEUTRAL
10,NEUTRAL
11,NEUTRAL
13,CONTRADICTION
15,NEUTRAL
16,NEUTRAL
17,NEUTRAL
19,ENTAILMENT
20,CONTRADICTION
21,NEUTRAL
22,NEUTRAL
23,CONTRADICTION
27,NEUTRAL
29,NEUTRAL
31,NEUTRAL
32,NEUTRAL
33,ENTAILMENT
34,NEUTRAL
36,NEUTRAL
37,ENTAILMENT
38,NEUTRAL
39,ENTAILMENT
41,NEUTRAL
43,NEUTRAL
46,NEUTRAL
48,ENTAILMENT
50,NEUTRAL
51,NEUTRAL
52,ENTAILMENT
53,NEUTRAL
54,NEUTRAL
57,NEUTRAL
59,NEUTRAL
60,NEUTRAL
61,ENTAILMENT
63,NEUTRAL
64,CONTRADICTION
66,ENTAILMENT
67,CONTRADICTION
68,NEUTRAL
69,NEUTRAL
71,NEUTRAL
74,ENTAILMENT
75,ENTAILMENT
76,ENTAILMENT
80,NEUTRAL
86,NEUTRAL
89,NEUTRAL
92,NEUTRAL
95,NEUTRAL
96,CONTRADICTION
101,ENTAILMENT
102,ENTAILMENT
103,ENTAILMENT
104,NEUTRAL
106,ENTAILMENT
108,NEUTRAL
109,ENTAILMENT
110,ENTAILMENT
111,ENTAILMENT
114,NEUTRAL
115,NEUTRAL
118,NEUTRAL
121,ENTAILMENT
123,NEUTRAL
125,NEUTRAL
128,NEUTRAL
132,CONTRADICTION
134,NEUTRAL
135,NEUTRAL
137,NEUTRAL
138,NEUTRAL
142,NEUTRAL
143,CONTRADICTION
144,NEUTRAL
145,CONTRADICTION
147,CONTRADICTION
149,ENTAILMENT
151,NEUTRAL
152,NEUTRAL
153,NEUTRAL
154,NEUTRAL
155,NEUTRAL
156,NEUTRAL
157,NEUTRAL
158,ENTAILMENT
160,ENTAILMENT
162,ENTAILMENT
165,ENTAILMENT
166,NEUTRAL
167,NEUTRAL
168,NEUTRAL
169,NEUTRAL
171,ENTAILMENT
172,NEUTRAL
174,NEUTRAL
175,NEUTRAL
177,NEUTRAL
178,NEUTRAL
179,ENTAILMENT
180,ENTAILMENT
181,NEUTRAL
182,ENTAILMENT
187,NEUTRAL
189,NEUTRAL
190,NEUTRAL
191,NEUTRAL
193,ENTAILMENT
195,NEUTRAL
196,NEUTRAL
198,NEUTRAL
199,NEUTRAL
203,NEUTRAL
204,NEUTRAL
206,NEUTRAL
207,NEUTRAL
208,NEUTRAL
209,NEUTRAL
210,NEUTRAL
212,NEUTRAL
213,NEUTRAL
214,NEUTRAL
220,ENTAILMENT
221,ENTAILMENT
222,NEUTRAL
229,NEUTRAL
230,CONTRADICTION
231,ENTAILMENT
235,NEUTRAL
239,NEUTRAL
242,NEUTRAL
