pair_ID,entailment_judgment,relatedness_score
6,NEUTRAL,2.6848344802856445
7,NEUTRAL,3.7654836177825928
8,NEUTRAL,3.5318331718444824
10,ENTAILMENT,4.649787902832031
11,ENTAILMENT,4.382193565368652
13,CONTRADICTION,3.428664207458496
15,NEUTRAL,3.5546176433563232
16,NEUTRAL,2.9336066246032715
17,NEUTRAL,2.969482183456421
19,ENTAILMENT,4.516671657562256
20,CONTRADICTION,3.338348627090454
21,NEUTRAL,3.955939769744873
22,ENTAILMENT,4.522339344024658
23,CONTRADICTION,3.770664691925049
27,NEUTRAL,3.3092055320739746
29,NEUTRAL,3.6817471981048584
31,CONTRADICTION,3.614028215408325
32,NEUTRAL,4.023813247680664
33,ENTAILMENT,4.206360340118408
34,NEUTRAL,3.692336320877075
36,NEUTRAL,2.9333443641662598
37,ENTAILMENT,3.762166738510132
38,CONTRADICTION,2.776787757873535
39,NEUTRAL,3.579378366470337
41,ENTAILMENT,4.298913478851318
43,ENTAILMENT,4.273798942565918
46,NEUTRAL,3.849057197570801
48,NEUTRAL,3.532663345336914
50,NEUTRAL,3.344128370285034
51,NEUTRAL,3.6272380352020264
52,ENTAILMENT,4.616700172424316
53,NEUTRAL,3.5309717655181885
54,NEUTRAL,3.492060661315918
57,NEUTRAL,3.383737325668335
59,NEUTRAL,3.5131497383117676
60,NEUTRAL,3.399540424346924
61,NEUTRAL,3.077282190322876
63,NEUTRAL,4.331890106201172
64,CONTRADICTION,3.5080173015594482
66,NEUTRAL,4.001584053039551
67,CONTRADICTION,3.942049264907837
68,NEUTRAL,3.5549306869506836
69,CONTRADICTION,3.749102830886841
71,CONTRADICTION,3.1668319702148438
74,ENTAILMENT,4.582952976226807
75,NEUTRAL,4.083626747131348
76,ENTAILMENT,3.983257293701172
80,NEUTRAL,2.1657726764678955
86,NEUTRAL,2.323657512664795
89,ENTAILMENT,4.129642963409424
92,NEUTRAL,1.4265155792236328
95,NEUTRAL,1.6590641736984253
96,NEUTRAL,1.2573264837265015
101,ENTAILMENT,4.314432621002197
102,NEUTRAL,3.433734655380249
103,NEUTRAL,3.2819361686706543
104,NEUTRAL,3.3358731269836426
106,NEUTRAL,3.3411834239959717
108,NEUTRAL,3.9223554134368896
109,NEUTRAL,3.633002281188965
110,ENTAILMENT,4.357352256774902
111,ENTAILMENT,4.431221008300781
114,NEUTRAL,3.753486156463623
115,NEUTRAL,3.2495365142822266
118,NEUTRAL,4.036418437957764
