pair_ID,entailment_judgment,relatedness_score
6,NEUTRAL,3.3
7,NEUTRAL,3.7
8,NEUTRAL,3.0
10,ENTAILMENT,4.9
11,ENTAILMENT,3.665
13,CONTRADICTION,3.3
15,NEUTRAL,2.7
16,NEUTRAL,2.9
17,NEUTRAL,2.3
19,ENTAILMENT,4.9
20,CONTRADICTION,3.6
21,NEUTRAL,3.0
22,ENTAILMENT,4.3
23,CONTRADICTION,4.1
27,NEUTRAL,3.2
29,NEUTRAL,3.3
31,CONTRADICTION,4.0
32,NEUTRAL,4.2
33,ENTAILMENT,4.7
34,NEUTRAL,3.9
36,NEUTRAL,3.5
37,ENTAILMENT,4.0
38,CONTRADICTION,3.5
39,NEUTRAL,3.6
41,ENTAILMENT,4.4
43,ENTAILMENT,4.0
46,NEUTRAL,3.9
48,NEUTRAL,3.7
50,NEUTRAL,3.6
51,NEUTRAL,3.9
52,ENTAILMENT,4.9
53,NEUTRAL,4.0
54,NEUTRAL,3.9
57,NEUTRAL,4.1
59,NEUTRAL,3.9
60,NEUTRAL,3.1
61,NEUTRAL,3.9
63,NEUTRAL,4.4
64,CONTRADICTION,3.8
66,NEUTRAL,4.8
67,CONTRADICTION,4.1
68,NEUTRAL,4.6
69,CONTRADICTION,3.6
71,CONTRADICTION,3.3
74,ENTAILMENT,4.7
75,NEUTRAL,3.8
76,ENTAILMENT,2.9
80,NEUTRAL,1.3
86,NEUTRAL,2.6
89,ENTAILMENT,4.8
92,NEUTRAL,1.6
95,NEUTRAL,1.6
96,NEUTRAL,1.2
101,ENTAILMENT,4.0
102,NEUTRAL,3.7
103,NEUTRAL,3.7
104,NEUTRAL,4.3
106,NEUTRAL,4.1
108,NEUTRAL,3.5
109,NEUTRAL,4.7
110,ENTAILMENT,3.9
111,ENTAILMENT,4.8
114,NEUTRAL,3.0
115,NEUTRAL,2.7
118,NEUTRAL,4.8
121,ENTAILMENT,4.8
123,NEUTRAL,2.8
125,NEUTRAL,3.0
128,NEUTRAL,2.3
132,CONTRADICTION,3.3
134,NEUTRAL,4.0
135,NEUTRAL,2.7
137,NEUTRAL,2.8
138,NEUTRAL,1.4
142,NEUTRAL,4.9
143,CONTRADICTION,3.4
144,NEUTRAL,2.9
145,NEUTRAL,2.2
147,NEUTRAL,2.8
149,NEUTRAL,4.535
151,ENTAILMENT,4.8
152,NEUTRAL,4.1
153,ENTAILMENT,4.5
